designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 65219391924842496",65219391924842496,56.3863353649768,23.970474966084346,0.4793073528792356,1.1488283991516552,-7.092521516306261,1.0600592,16.296316,1.1311731,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5496.308,4.6013,-0.8958,989.9757,0.6666,0.5423,0.2953
"Gaia DR3 65219426283367808",65219426283367808,56.40379735811357,23.970647707185485,-0.5411444512718365,1.482294845227666,-0.6214471510135271,1.0847082,20.685886,1.1223888,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219426284577536",65219426284577536,56.40169841602966,23.98623136945845,0.4567123772679199,2.644343286228508,-6.031285117200363,0.985446,17.507267,1.438406,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4424.338,4.8424,-1.2982,744.6257,0.4309,0.3266,0.1757
"Gaia DR3 65219598082060544",65219598082060544,56.383327050478194,23.978250615054378,-0.8088059057251462,1.5787524737130498,-4.419631153571708,1.10726,20.617165,1.7202435,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219628146512512",65219628146512512,56.39063454570841,23.987537980991345,1.2220143087771667,4.731328227498726,-13.048486600527081,1.0367656,16.189753,1.4368172,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4679.7974,4.3886,-0.7854,891.8413,0.6431,0.4959,0.2673
"Gaia DR3 65219632440898432",65219632440898432,56.389689759475665,23.99311090403376,0.23523365141915892,4.017255480249585,-4.891764623444558,1.1018357,19.490652,2.5141144,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219632443008000",65219632443008000,56.386048722419346,23.990318082014937,0.936086070765153,5.686360226631789,-9.513332788714498,0.9310375,17.89738,1.8558979,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3965.3704,4.858,-0.9358,571.8778,0.5934,0.4242,0.2311
"Gaia DR3 65219701161398400",65219701161398400,56.38212242735588,24.004114354893296,,,,,20.92733,1.149704,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219701162483840",65219701162483840,56.386787310906335,24.00568093881373,0.09455778653848551,5.993805441969386,-3.317422251941197,1.072367,18.157701,1.1945152,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4699.095,4.92,-2.6363,1115.6648,0.173,0.1359,0.0744
"Gaia DR3 65219701162484352",65219701162484352,56.37455696066045,24.00137060336867,0.7056639891054625,2.665822086548102,-14.18869608701063,0.9308161,18.097322,1.6428146,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3943.832,4.8463,-0.7952,776.8945,0.0102,0.0074,0.004
"Gaia DR3 65225950338575616",65225950338575616,56.76450957838271,24.125734226881754,0.47940838115968554,4.843955058220817,-10.202578600262303,1.1092846,19.144644,1.157196,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220422716121728",65220422716121728,56.362536516160574,23.994011646172094,,,,,20.902376,0.7686329,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220457075521664",65220457075521664,56.36933865227175,24.004984836826907,,,,,21.009995,1.306551,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220491435718016",65220491435718016,56.35881991543572,24.009324657900443,,,,,20.879969,2.671999,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220731954727296",65220731954727296,56.346180959355706,24.030180844661313,1.457634954514853,2.842124730760534,-2.8978673309255454,0.99994355,19.97026,2.1714573,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220796377694720",65220796377694720,56.33803843219817,24.045629864814632,1.0639866592795,5.691450137751529,-2.2388376863440484,1.043826,16.833826,1.5334282,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4156.401,4.1837,-1.8207,807.2538,0.2794,0.208,0.1124
"Gaia DR3 65220903753326592",65220903753326592,56.41485184490127,23.99256904715383,0.8055506025009863,5.844365051907072,-5.8814777397470515,1.0104599,15.043443,1.1457233,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5556.844,4.2959,-0.7158,970.6191,0.7198,0.5864,0.3189
"Gaia DR3 65220933816587776",65220933816587776,56.42351917019935,24.002097190084125,3.1690290045269656,28.024638670637234,-28.062390689017366,0.96754193,18.633526,2.8991222,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3281.1514,4.9175,-0.0343,290.8966,1.302,0.8069,0.542
"Gaia DR3 65220938111696384",65220938111696384,56.43024456428792,23.998056104634713,1.3874385422536664,-0.7097456475515402,-2.360120220733653,0.96865386,20.591295,0.7604637,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220938111857280",65220938111857280,56.420628504325755,23.998715335330363,1.0726381135219605,2.153683786575972,-6.794366346559796,0.9804457,20.419813,1.8689041,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220938111857664",65220938111857664,56.41731772117605,24.00039402952405,,,,,21.010721,1.5810795,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220938113063680",65220938113063680,56.42622770892959,23.9978602307705,0.8289536234249433,3.133481637587191,-6.032836880750818,1.008258,17.76568,1.8190327,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3720.8425,4.4103,-1.3368,602.0114,0.3006,0.2129,0.115
"Gaia DR3 65220972470686592",65220972470686592,56.4413472706894,23.996631006278793,1.7840176725119765,-4.412446087522899,-7.486250607910234,1.0070901,19.66033,2.4658947,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65220972472894592",65220972472894592,56.453338463412045,23.997413995275707,0.3027065250525864,-0.44529767171821655,-1.0901288193971685,1.0191336,15.994528,1.194457,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5712.465,4.3578,-0.2173,1284.4105,0.9097,0.7394,0.3992
"Gaia DR3 65221002536072832",65221002536072832,56.46292512082271,24.01048843699853,0.40785334331355966,1.383342385380031,0.20646692220264837,0.98290586,18.658546,1.3514805,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4257.0845,4.9451,-2.1511,863.5148,0.0031,0.0023,0.0013
"Gaia DR3 65221006831333888",65221006831333888,56.452133292795516,24.007325172657257,,,,,21.036955,1.5001659,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221071255564928",65221071255564928,56.448221032132835,24.02366269893456,1.1549289128487037,3.967811803407889,-5.047358598097509,1.1296285,19.607733,2.4058685,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221105615271424",65221105615271424,56.40957549800811,23.995366470584393,0.09900087121363,0.7430380801632884,-0.6171278154631687,1.0282638,18.677553,1.0686455,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4855.6685,4.8977,-2.4166,1740.3318,0.0072,0.0058,0.0031
"Gaia DR3 65221109911755904",65221109911755904,56.40982319895299,24.002104754310718,0.341890920997994,1.3575526390025259,0.32537470304783456,1.0129348,17.396608,1.1035519,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4897.181,4.8595,-2.3852,1032.6031,0.0529,0.0423,0.0231
"Gaia DR3 65221174334243584",65221174334243584,56.38792874684938,24.006574152644987,0.8715793394153359,8.690259990278536,2.1650970821417883,0.96441156,14.767355,1.0054827,25.56645,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6176.374,4.2686,-0.9351,1067.2964,0.7533,0.6325,0.3459
"Gaia DR3 65221178631775488",65221178631775488,56.38830780462606,24.00659725418191,-0.48085519358623163,7.840755686621532,1.6492815657203235,1.3262804,18.740633,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221243054247296",65221243054247296,56.430771402554875,24.0158860085546,,,,,21.382229,1.27952,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221281710442624",65221281710442624,56.43375744883058,24.03673802473327,1.1955475582254964,-0.09892766980078527,-10.90800184876305,1.0085367,15.610168,1.4037704,,"VARIABLE",0,true,false,false,true,false,true,true,4817.5005,4.3971,-0.4631,756.8486,0.7203,0.5583,0.2996
"Gaia DR3 65221281710985088",65221281710985088,56.43251913646986,24.024793542210983,0.12101967758589197,6.314192484059296,-0.7489492273683043,0.9617281,19.560709,1.2718315,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221311773734912",65221311773734912,56.415885725694096,24.024240310821035,-0.2429681850769228,0.35262529772975226,-1.8157444700412562,1.0620484,19.786818,1.1048374,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221346133503232",65221346133503232,56.41699133091972,24.042799986226616,0.09827870333243674,0.020651175114974246,0.526393709661699,0.98804486,18.314396,1.137392,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4794.257,4.8993,-2.4142,1354.5548,0.0652,0.0514,0.028
"Gaia DR3 65221350429919744",65221350429919744,56.42077145649416,24.040640678519217,2.0052168115776534,0.6195773236576627,-9.21107079945952,1.0000812,16.20921,2.0160418,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3655.8533,4.0481,-0.9997,469.5931,0.5698,0.3976,0.2172
"Gaia DR3 65221414852956928",65221414852956928,56.4790950732014,24.02792137928785,0.1706996892601624,1.1951474322623816,-0.22312751229686528,1.031731,18.982044,0.95469284,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5036.86,4.8368,-2.191,2472.9302,0.0053,0.0043,0.0023
"Gaia DR3 65221453507005824",65221453507005824,56.45552486173996,24.03617760780515,0.49432821507860525,-0.11788680239243085,-1.3151402674087627,1.060651,19.802591,1.1962051,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221453507770368",65221453507770368,56.46062389169363,24.03310583927719,-0.8746645671530425,-0.00795220686909047,0.2391089569901223,1.0022964,20.5472,0.6406727,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221453509134592",65221453509134592,56.45487654594461,24.025271735787822,0.8645880814100021,5.676547921554399,2.682632757849434,1.0349573,17.77832,1.6722488,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3885.2065,4.375,-1.9677,655.7649,0.0076,0.0055,0.003
"Gaia DR3 65221487866740096",65221487866740096,56.46618050960977,24.042480961871874,0.3377770177313749,-0.2828978722409681,0.24098405816230065,1.0042832,19.430481,0.99897575,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221487868870784",65221487868870784,56.46524526083272,24.03867637774549,7.295877939593721,19.8061014454413,-45.00296374339572,1.3362249,7.8336287,0.2657609,6.8758893,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,9835.445,4.3391,0.0644,139.3767,0.575,0.543,0.2892
"Gaia DR3 65221487868871168",65221487868871168,56.46311169699023,24.038024017044712,0.8340924470439776,2.7249284399378872,1.427925939405419,0.986823,18.422413,1.2064152,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221586651685248",65221586651685248,56.49050612273433,24.051232484000153,7.147155067867327,18.21744136298265,-44.80112017638531,1.0574329,18.095722,3.0859604,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3097.4224,4.9807,0.0435,152.6748,1.166,0.694,0.4991
"Gaia DR3 65221590946894336",65221590946894336,56.477927332126384,24.052362517286006,-0.30476550968921046,6.565947604027231,-11.325367953421173,1.0493401,20.726671,1.6211357,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221621011445376",65221621011445376,56.495423155784955,24.06307616769111,0.19100006224674945,1.4100359199492318,-0.16712025623341983,1.0701878,16.481537,1.3827229,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5192.111,4.4944,-0.1944,1110.508,0.9635,0.7578,0.4061
"Gaia DR3 65221625307915776",65221625307915776,56.49601998482661,24.06124671603547,0.38356145902588074,0.9473304089277859,-5.860013418274634,1.0463324,15.439145,1.4090843,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4988.8496,3.7355,-0.011,1643.7375,0.8677,0.6756,0.3595
"Gaia DR3 65221625307982592",65221625307982592,56.490846508905165,24.07034851645267,0.8434552695786774,6.141089132838628,-13.224203812603779,0.98547465,20.163712,2.2529545,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221659666369664",65221659666369664,56.43961133488144,24.038954905817537,1.7498878194248295,0.6767567450109204,-2.4087534454092365,1.1233563,20.656796,1.3146152,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221659667563264",65221659667563264,56.453663356862684,24.042341144926322,0.6659960333150499,1.6302061438883546,-12.517162064174395,0.9622822,15.851121,1.117075,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5779.6797,4.5008,-0.7138,1017.8399,0.7684,0.6318,0.3441
"Gaia DR3 65221659667563392",65221659667563392,56.44669486500398,24.042453870395217,-0.2070095541806653,1.2556942097099602,6.587387833665277,1.1305991,19.44991,1.7854176,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221689730903680",65221689730903680,56.46054973785327,24.053578645468246,-1.3546011030614058,3.5177154605049807,-4.167134147990929,1.1511724,20.435364,1.4976463,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221728387038848",65221728387038848,56.44387832707,24.05203654247319,0.6236220233744796,5.416460712150138,-6.775597426696141,0.90559757,17.50033,1.3261871,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4501.5073,4.7287,-1.7762,889.1116,0.1788,0.138,0.0747
"Gaia DR3 65221758450404352",65221758450404352,56.44272540571304,24.066778803162585,0.49429894142495484,-0.23848244394950546,-3.0481294601834654,0.9885984,19.180454,1.1411896,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221762744640384",65221762744640384,56.443201396183994,24.065244242189927,0.7297473921582799,3.8098681078852783,-1.3929511396868774,1.0360763,19.620235,0.9275589,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221762746775680",65221762746775680,56.4452426660776,24.067035283668865,0.4242587675494402,1.5347181356585233,-1.7267332077367348,1.0183165,17.151974,1.1847363,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4712.4746,4.7896,-1.2714,939.8808,0.0443,0.0349,0.0187
"Gaia DR3 65221762746776064",65221762746776064,56.44317571488181,24.064751926357115,0.029194836632677863,0.4089982836365691,-0.29987983364103094,1.0252197,16.645517,1.4071712,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 65221797106512256",65221797106512256,56.4719565969283,24.068525911324134,4.15208113659164,-12.167499725576143,-7.202332169488098,0.9775791,17.656393,2.5377312,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3425.8726,4.9478,-0.3559,230.8477,0.8636,0.5607,0.3524
"Gaia DR3 65221827169890176",65221827169890176,56.48246730735865,24.07311209730728,0.07287164053264474,-0.8764939953811239,-1.216114378166512,1.0299805,17.985447,0.9326134,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5203.6304,4.7974,-2.4618,1813.3733,0.008,0.0066,0.0036
"Gaia DR3 65221827169897472",65221827169897472,56.478842084245464,24.079289079928024,0.8146182644919565,4.031247912098104,-4.2440792616728436,1.0204496,18.955841,1.7790833,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3690.2168,4.9924,-1.3744,528.4731,0.1101,0.0775,0.0427
"Gaia DR3 65221831464109952",65221831464109952,56.47706382406224,24.073773468480855,0.5788115347656297,4.647309000678473,-3.584664153914898,0.9750897,20.135008,1.745678,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65221831465066752",65221831465066752,56.486399752030884,24.070778288398127,-0.5179962764431217,-2.500246617412424,-8.3142360422286,1.1394469,20.803978,0.9654827,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
