SOURCE_ID,ra,dec,parallax,bp_rp,phot_g_mean_mag,teff_gspphot,radius_gspphot,dist_pc,abs_g_mag
3949987315103642624,182.60626659283702,18.191216982877464,1.8946463585147244,1.1291304,14.758045,4769.3916,0.809,527.8029831297556,6.145685993968577
3949987727420503552,182.60351091062142,18.227323240780624,1.3847731850357816,1.861866,17.094027,3623.6633,0.7437,722.1399221231748,7.800919791564697
3949988758212643328,182.53075719805386,18.254056009158706,1.6129237978825577,1.3791981,15.501368,4383.5737,0.8846,619.9920921948064,6.539436817753144
3949989204889253760,182.61019069832685,18.24040216042454,3.939309001087146,2.0372782,16.356638,3773.651,0.4647,253.85162720772252,9.333738196665289
3949989544191169536,182.66391429035485,18.267553018447725,1.7216744367354748,2.086111,18.83475,3287.0198,0.293,580.8299052729933,10.014504377550548
3949989754645067904,182.65418502446673,18.27529267168306,4.746292037790806,1.865942,14.698056,4147.953,0.6268,210.69078599416667,8.07982850450999
3949989956508036736,182.67073062888488,18.316014337938807,1.0320975620308608,2.2111015,18.990292,3540.8347,0.4041,968.9006512449246,9.05889535637705
3949991365257154048,182.30402770670165,18.096127355384905,1.4939913871555706,1.91605,17.72894,3582.6074,0.4553,669.3479015992942,8.600679525314163
3949991811933761408,182.3453500561341,18.120304321713245,1.1604531698101352,2.1446,17.94852,3570.5283,0.4927,861.7323180422806,8.271658756167863
3949992602207748736,182.21231285333155,18.138842738037848,2.738117648877188,2.4843216,18.448551,3291.377,0.2524,365.2144020948359,10.635811700767611
3949993362417581440,182.38878583138705,18.154060848655586,1.342095991641389,1.4202747,17.225315,4304.3237,0.9092,745.1031865291511,7.864232990406645
3949994358849996160,182.4024015693657,18.22663078430739,1.0613638298141324,0.93352604,15.4491,5293.1753,0.6459,942.1839824474907,5.578420956895609
3949994702447378176,182.30470162024952,18.19698493194594,1.1345309104151546,0.99640083,15.083781,5132.329,0.9173,881.4215556578126,5.357862906277765
3949994766871293568,182.30304453388234,18.212979151239256,1.5887822191542937,2.3339634,18.535963,3302.3105,0.2734,629.4128848775123,9.541284912345075
