SOURCE_ID,ra,dec,parallax,bp_rp,phot_g_mean_mag,teff_gspphot,radius_gspphot,dist_pc,abs_g_mag
2035035223783462400,296.60678841603806,33.72560570838146,47.65163375971132,0.64211273,4.873973,6271.1895,1.626,20.985639339096146,3.2643618689093366
4692263904164105856,18.944654802823102,-68.87450095945337,47.650011055007226,1.0548897,7.3319693,4992.5405,0.8606,20.986353997811225,5.722284289832144
2035021028896869888,296.3901442292474,33.599255652596426,47.61000095060265,1.2492104,8.15548,4658.0493,0.7053,21.00399033886896,6.543971335555806
6317928267153806976,231.93785833910124,-9.026988854871211,47.60828816286942,3.1739254,13.756767,3036.143,0.2143,21.004745992524857,12.14518010273456
6097323972147451648,213.37390493801033,-44.532473024957234,47.60163804387461,2.911336,13.211689,3143.3374,0.2364,21.00768043062502,11.599798483877205
612073663345730560,135.59545334289425,17.775511506339214,47.60134969079366,2.7997942,12.579118,3015.156,0.3487,21.00780768813799,10.967214109464356
350664155368182656,24.901464121306226,45.876760727613814,47.5820527427492,0.8448658,6.449255,5599.268,0.986,21.016327425100112,4.836470859889237
5562135416013050240,104.29969358057234,-43.41479021451749,47.552955498922536,2.3630304,11.012002,3245.77,0.5486,21.029187134807177,9.39788956262177
3684934540986187776,198.18182440415617,-2.2649905886771213,47.55293453509341,1.0657644,7.3308573,4989.4634,0.8636,21.02919640557648,5.716743890967516
5162123155863791744,52.332713290239084,-11.67972085949451,47.55051926652281,1.7944841,9.34093,3716.8042,0.7531,21.030264557048362,7.7267063047
684865658135318144,134.6621906453498,20.545985917225455,47.55005839694029,1.4362402,8.783939,4290.565,0.6693,21.030468388748545,7.169694634758919
4654969496256092032,71.04411298673476,-70.3237255702916,47.52228720879211,2.1383429,10.260907,3632.2952,0.5687,21.04275822429249,8.645393846727506
5562135411718515328,104.29922477377372,-43.41538909778504,47.51800387619344,2.302289,10.789288,3356.315,0.5394,21.044655044969193,9.173578510278507
548172349642820352,47.27224723331344,76.03899710139231,47.51286789141637,1.7530117,9.159814,3898.7314,0.7353,21.04692990297601,7.54387010771928
532057254394731776,23.633921284293073,68.94864548479532,47.51084800424145,0.85279036,6.3501935,5540.6875,1.0646,21.04782469701923,4.73415741080005
1126456229662509568,152.74944625525382,75.14225867215765,47.50929558937165,1.8659506,9.647676,3791.4614,0.6195,21.04851245623837,8.03156942425203
6155259541913716608,195.1071762372226,-34.60639149497172,47.5075193899691,1.9887457,9.851435,3727.3867,0.6243,21.049299412823974,8.23524647904159
3235885299189856384,82.05933436737378,2.965723381901958,47.50724174870902,2.552909,11.694209,3122.8606,0.4626,21.049422428890527,10.07800817975963
259731623173675904,74.69517197267011,50.94232725155364,47.49678089820916,2.0392656,10.1602545,3680.0913,0.5619,21.05405842436165,8.543575359682134
1126456225366579840,152.74765482659691,75.14254700137923,47.494876520602844,1.8690958,9.623056,3992.8726,0.5648,21.054902618100485,8.006290226305225
